obec_kod;obec;okres_kod;okres;kraj_kod;kraj;vymera;krajina;krajina_kod;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE;latitude;longitude
510904;Partizánska Ľupča;505;Liptovský Mikuláš;5;Žilinský;92405388;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Liptovský Mikuláš;SK0315;Partizánska Ľupča;SK0315510904;49.0099935;19.40967420590737
505315;Partizánske;305;Partizánske;3;Trenčiansky;22291247;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Partizánske;SK0225;Partizánske;SK0225505315;48.6264092;18.3730067
526070;Pašková;808;Rožňava;8;Košický;6006822;Slovensko;SK0;Východné Slovensko;SK04;Košický kraj;SK042;Rožňava;SK0428;Pašková;SK0428526070;48.5919051;20.3836809
547620;Paština Závada;511;Žilina;5;Žilinský;7327948;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B;Paština Závada;SK031B547620;49.2032505;18.62429996878201
502626;Pastovce;402;Levice;4;Nitriansky;12858535;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Levice;SK0232;Pastovce;SK0232502626;47.96596;18.74469952529514
507415;Pastuchov;203;Hlohovec;2;Trnavský;15234830;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Hlohovec;SK0213;Pastuchov;SK0213507415;48.4162504;17.88772569251392
503959;Pata;202;Galanta;2;Trnavský;17549124;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Galanta;SK0212;Pata;SK0212503959;48.2757628;17.8252821
501883;Pataš;201;Dunajská Streda;2;Trnavský;9384354;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Dunajská Streda;SK0211;Pataš;SK0211501883;47.8745169;17.6532283
501310;Patince;401;Komárno;4;Nitriansky;11315439;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Komárno;SK0231;Patince;SK0231501310;47.7398142;18.2920985
510912;Pavčina Lehota;505;Liptovský Mikuláš;5;Žilinský;7206154;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Liptovský Mikuláš;SK0315;Pavčina Lehota;SK0315510912;49.0206211;19.55629136835865
